Search/Query,MongoDB,Solr,,,,
Return all movies,find({}),q: *:*,,,,
"Return a movie, based on it’s exact title (case sensitive)",{'title': 'Star Wars: Episode V - The Empire Strikes Back'},"q: title:""Star Wars: Episode V - The Empire Strikes Back""",,,,
Return all movies whose title contains the exact phrase ‘star wars’ (case insensitive),"{'title': {'$regex': r'\bstar wars\b', '$options': 'i'}}","q: title:""star wars""",,,,
Return all movies whose title contains the either the word ‘star’ or ‘wars’ (case insensitive),"{'title': {'$regex': r'\bstar\b|\bwars\b', '$options': 'i'}}",q: title:star wars,,,,
"Return all movies whose title contains words like ‘star’ or ‘wars’, i.e ‘starry’ or ‘warship’ (case insensitive)","{'title': {'$regex': 'star|wars', '$options': 'i'}}",q: title:*star* *wars*,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
